State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total_calls,Total_charges,Intl_call_ratio,Day_call_ratio,Night_call_ratio,Evening_call_ratio,Avg_charge_per_call,Day_charge_per_min,Eve_charge_per_min,Night_charge_per_min,Intl_charge_per_min,Day_call_efficiency,Eve_call_efficiency,Night_call_efficiency,Intl_call_efficiency,Total_minutes,Charge_per_min,Monthly_Revenue,Customer_Lifetime_Months,CLV,Revenue_per_call,Revenue_per_minute
MN,74,510,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,282,64.0,0.010638297872340425,0.32269503546099293,0.3262411347517731,0.3404255319148936,0.22695035460992907,0.17000516262261228,0.08500609508329948,0.045,0.26986301369863014,2.1285714285714286,2.5635416666666666,1.5,4.866666666666666,592.4,0.10803511141120865,25.945945945945944,2.466666666666667,64.0,0.22695035460992907,0.10803511141120865
HI,85,415,No,No,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,305,65.16,0.009836065573770493,0.35737704918032787,0.32459016393442625,0.3081967213114754,0.21363934426229508,0.17001696352841392,0.08498727735368956,0.045005313496280556,0.27,2.163302752293578,1.6723404255319148,1.9010101010101008,4.0,593.2,0.10984490896830747,22.997647058823528,2.8333333333333335,65.16,0.21363934426229508,0.10984490896830747
MN,46,415,No,No,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,292,60.57,0.010273972602739725,0.2465753424657534,0.386986301369863,0.3561643835616438,0.20743150684931508,0.170014012143858,0.08497566909975669,0.04501408450704225,0.26951219512195124,2.973611111111111,1.580769230769231,1.5707964601769913,2.733333333333333,564.2,0.10735554767812831,39.50217391304348,1.5333333333333334,60.57000000000001,0.20743150684931508,0.10735554767812831
VT,128,510,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,275,66.53999999999999,0.025454545454545455,0.3781818181818182,0.28363636363636363,0.31272727272727274,0.24196363636363633,0.16999442275515894,0.0849933598937583,0.04501547987616099,0.2697674418604651,1.7240384615384616,2.6267441860465115,4.141025641025641,1.2285714285714284,736.8000000000001,0.09030944625407164,15.595312499999999,4.266666666666667,66.53999999999999,0.24196363636363633,0.09030944625407164
LA,155,415,No,No,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,327,62.03,0.012232415902140673,0.3058103975535168,0.363914373088685,0.3180428134556575,0.1896941896024465,0.17000983284169124,0.08501833420639078,0.045,0.2696629213483146,2.0340000000000003,1.8355769230769232,1.6470588235294117,2.225,599.1999999999999,0.10352136181575436,12.005806451612903,5.166666666666667,62.03,0.1896941896024465,0.10352136181575436
MT,73,415,No,No,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,258,56.68999999999999,0.015503875968992248,0.4263565891472868,0.27906976744186046,0.27906976744186046,0.2197286821705426,0.17001873828856964,0.08499765588373183,0.04497415278575532,0.26999999999999996,1.4554545454545453,2.9625000000000004,2.4180555555555556,3.25,560.5,0.10114183764495983,23.2972602739726,2.433333333333333,56.68999999999999,0.2197286821705426,0.10114183764495983
ID,77,415,No,No,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,314,75.32000000000001,0.022292993630573247,0.22929936305732485,0.3471337579617834,0.4012738853503185,0.2398726114649682,0.17001588562351072,0.08497812348079728,0.04498546511627907,0.2704081632653061,3.4972222222222222,1.6325396825396825,2.5247706422018346,1.4000000000000001,742.5,0.10144107744107746,29.345454545454547,2.566666666666667,75.32000000000001,0.2398726114649682,0.10144107744107746
MA,108,415,No,No,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,320,56.129999999999995,0.015625,0.428125,0.31875,0.2375,0.17540624999999999,0.16999439147504206,0.08502645502645503,0.04500387296669248,0.26986301369863014,1.3014598540145985,2.486842105263158,1.2656862745098039,2.92,511.0,0.10984344422700586,15.591666666666665,3.6,56.129999999999995,0.17540624999999999,0.10984344422700586
KY,95,408,No,No,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,316,52.980000000000004,0.028481012658227847,0.31329113924050633,0.3227848101265823,0.33544303797468356,0.16765822784810128,0.16999999999999998,0.08502178649237473,0.04500611496127191,0.2704,1.3636363636363635,1.732075471698113,2.4049019607843136,1.3888888888888888,576.4000000000001,0.09191533657182512,16.730526315789476,3.1666666666666665,52.980000000000004,0.16765822784810128,0.09191533657182512
MI,36,510,No,Yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,297,75.88000000000001,0.020202020202020204,0.3434343434343434,0.38047138047138046,0.2558922558922559,0.25548821548821554,0.17000710732054017,0.08501483679525224,0.04497863247863248,0.27,2.7588235294117647,2.6605263157894736,1.6566371681415928,1.5,679.8,0.11162106501912329,63.23333333333334,1.2,75.88000000000001,0.25548821548821554,0.11162106501912329
CO,141,415,No,Yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,331,49.0,0.0030211480362537764,0.27492447129909364,0.42900302114803623,0.2930513595166163,0.14803625377643503,0.16998654104979813,0.08497330282227308,0.04498632634457611,0.2702970297029703,1.632967032967033,1.3515463917525772,1.5450704225352112,10.1,509.20000000000005,0.09622937941869598,10.425531914893616,4.7,49.0,0.14803625377643503,0.09622937941869598
AZ,63,415,No,No,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,275,36.48,0.01090909090909091,0.45454545454545453,0.32,0.21454545454545454,0.13265454545454544,0.1699490662139219,0.08502358490566038,0.04498580889309366,0.2702127659574468,0.4712,2.8745762711864407,2.4022727272727273,3.1333333333333333,449.29999999999995,0.08119296683730247,17.37142857142857,2.1,36.48,0.13265454545454544,0.08119296683730247
ID,97,408,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,322,67.83,0.015527950310559006,0.38819875776397517,0.2515527950310559,0.3447204968944099,0.21065217391304347,0.17001668056713928,0.08500931098696463,0.04501046755059316,0.2701149425287357,1.9184,1.9351351351351351,1.769135802469136,1.7399999999999998,606.6000000000001,0.11181998021760631,20.978350515463916,3.2333333333333334,67.83,0.21065217391304347,0.11181998021760631
CA,75,408,No,No,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,296,54.919999999999995,0.016891891891891893,0.4222972972972973,0.2702702702702703,0.2905405405405405,0.18554054054054053,0.16999398677089594,0.08501896333754741,0.04499415660303857,0.27049180327868855,1.3304,1.83953488372093,3.2087499999999998,1.22,587.3000000000001,0.09351268516941935,21.967999999999996,2.5,54.91999999999999,0.18554054054054053,0.09351268516941935
WA,127,408,No,No,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,282,55.09,0.010638297872340425,0.32269503546099293,0.3900709219858156,0.2765957446808511,0.19535460992907802,0.17000681663258352,0.08501228501228501,0.04498525073746313,0.27007299270072993,1.612087912087912,2.608974358974359,1.8490909090909091,4.566666666666666,567.3000000000001,0.09710911334390974,13.013385826771653,4.233333333333333,55.09,0.19535460992907802,0.09710911334390974
LA,121,408,No,No,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,327,58.989999999999995,0.01529051987767584,0.37003058103975534,0.3149847094801223,0.2996941896024465,0.18039755351681955,0.17002754820936639,0.08498168498168497,0.044987623762376236,0.27058823529411763,1.5,2.2285714285714286,1.5689320388349515,1.7,570.0,0.10349122807017543,14.625619834710744,4.033333333333333,58.989999999999995,0.18039755351681955,0.10349122807017543
NE,117,415,No,No,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,322,51.239999999999995,0.021739130434782608,0.3695652173913043,0.32608695652173914,0.2826086956521739,0.1591304347826087,0.17003891050583658,0.08500241896468312,0.04501672240802676,0.2702970297029703,0.8638655462184873,2.2714285714285714,2.8476190476190477,1.4428571428571428,618.6,0.08283220174587777,13.138461538461538,3.9,51.239999999999995,0.1591304347826087,0.08283220174587777
OH,65,408,No,No,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,325,57.60000000000001,0.018461538461538463,0.3569230769230769,0.26461538461538464,0.36,0.17723076923076925,0.16998403406067056,0.0850253807106599,0.04500659920809503,0.27066666666666667,1.6198275862068967,1.3470085470085469,2.6430232558139535,1.25,580.3,0.0992590039634672,26.58461538461539,2.1666666666666665,57.60000000000001,0.17723076923076925,0.0992590039634672
MO,6,510,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,270,63.82,0.007407407407407408,0.43333333333333335,0.29259259259259257,0.26666666666666666,0.23637037037037037,0.16998910675381265,0.08500194779898715,0.04501679731243001,0.26960784313725494,1.5692307692307692,3.5652777777777778,2.260759493670886,5.1,629.1,0.10144651088857097,319.09999999999997,0.2,63.81999999999999,0.23637037037037037,0.10144651088857097
AL,32,510,No,No,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,232,63.81,0.008620689655172414,0.375,0.22844827586206898,0.3879310344827586,0.27504310344827587,0.16998700736249459,0.08500533617929562,0.045,0.2698412698412698,2.6540229885057474,2.082222222222222,2.9056603773584904,3.15,578.5999999999999,0.11028344279294852,59.821875000000006,1.0666666666666667,63.81,0.27504310344827587,0.11028344279294852
NH,64,408,No,Yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,280,55.650000000000006,0.017857142857142856,0.325,0.30714285714285716,0.35,0.19875,0.1700164744645799,0.08497348261638185,0.044990892531876145,0.269811320754717,2.001098901098901,1.7316326530612243,1.9151162790697673,2.12,527.1,0.10557768924302789,26.085937500000004,2.1333333333333333,55.650000000000006,0.19875,0.10557768924302789
NM,25,415,No,No,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,278,53.2,0.014388489208633094,0.3129496402877698,0.30935251798561153,0.36330935251798563,0.19136690647482016,0.16999161777032692,0.08501182033096927,0.04499814057270361,0.2704761904761905,1.3712643678160918,2.094059405940594,3.1267441860465115,2.625,610.2,0.08718452966240577,63.84,0.8333333333333334,53.2,0.19136690647482016,0.08718452966240577
OR,65,415,No,No,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,332,47.09,0.006024096385542169,0.2620481927710843,0.45180722891566266,0.28012048192771083,0.14183734939759038,0.17003424657534247,0.08501956400223588,0.0450109649122807,0.2702127659574468,1.3425287356321838,1.9236559139784948,1.216,7.05,492.20000000000005,0.09567249085737504,21.733846153846155,2.1666666666666665,47.089999999999996,0.14183734939759038,0.09567249085737504
MI,127,415,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,305,65.75,0.009836065573770493,0.3377049180327869,0.3704918032786885,0.2819672131147541,0.2155737704918033,0.17001484413656606,0.08500435919790758,0.044979508196721314,0.27043478260869563,1.962135922330097,2.667441860465116,1.727433628318584,3.8333333333333335,638.2,0.10302413036665621,15.531496062992126,4.233333333333333,65.75,0.2155737704918033,0.10302413036665621
AZ,93,415,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False,303,72.09,0.009900990099009901,0.23432343234323433,0.39933993399339934,0.3564356435643564,0.23792079207920794,0.1699926362297496,0.08500435919790758,0.04501940491591203,0.2697247706422018,3.8253521126760566,2.1240740740740742,0.6388429752066116,3.6333333333333333,589.1999999999999,0.12235234215885948,23.25483870967742,3.1,72.09,0.23792079207920794,0.12235234215885948
TX,208,510,No,No,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,288,81.57000000000001,0.020833333333333332,0.2326388888888889,0.3541666666666667,0.3923611111111111,0.2832291666666667,0.17001531393568145,0.08502552467385138,0.04501926252063842,0.27009345794392525,4.873134328358209,1.5601769911504426,1.7813725490196077,1.7833333333333332,695.2,0.1173331415420023,11.764903846153846,6.933333333333334,81.57000000000001,0.2832291666666667,0.1173331415420023
IN,122,415,No,No,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False,262,60.370000000000005,0.030534351145038167,0.37404580152671757,0.32061068702290074,0.2748091603053435,0.2304198473282443,0.17001640689089417,0.08498212157330154,0.0449944382647386,0.27007299270072993,2.4877551020408166,1.1652777777777779,2.1404761904761904,1.7125,521.2,0.11582885648503453,14.845081967213117,4.066666666666666,60.370000000000005,0.2304198473282443,0.11582885648503453
LA,99,415,No,No,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False,289,65.82,0.03460207612456748,0.2491349480968858,0.3771626297577855,0.3391003460207612,0.2277508650519031,0.17001244296972212,0.08502570694087404,0.045005313496280556,0.26982758620689656,3.348611111111111,1.5877551020408163,1.7266055045871558,1.16,596.5,0.1103436714165968,19.945454545454545,3.3,65.82,0.2277508650519031,0.1103436714165968
MS,65,415,No,No,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False,314,57.44,0.006369426751592357,0.35668789808917195,0.33121019108280253,0.3057324840764331,0.18292993630573248,0.17002204261572373,0.08501282521069989,0.04500454132606722,0.27045454545454545,1.2151785714285714,2.842708333333333,2.1173076923076923,2.2,633.6,0.09065656565656564,26.51076923076923,2.1666666666666665,57.44,0.18292993630573248,0.09065656565656564
IN,65,415,No,No,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False,332,68.19000000000001,0.012048192771084338,0.33433734939759036,0.3704819277108434,0.28313253012048195,0.20539156626506028,0.17000937207122774,0.08498933901918976,0.04498200719712115,0.27037037037037037,1.9225225225225226,2.49468085106383,2.033333333333333,0.675,700.7,0.09731696874554019,31.4723076923077,2.1666666666666665,68.19000000000001,0.20539156626506028,0.09731696874554019
KY,45,415,No,Yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False,287,70.6,0.010452961672473868,0.2926829268292683,0.37630662020905925,0.3205574912891986,0.245993031358885,0.16998982706002036,0.08499361430395914,0.045009185548071026,0.26974789915966385,2.3404761904761906,3.404347826086956,1.512037037037037,3.966666666666667,684.9999999999999,0.10306569343065694,47.06666666666666,1.5,70.6,0.245993031358885,0.10306569343065694
MN,139,510,No,No,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,331,52.27,0.006042296072507553,0.3202416918429003,0.3776435045317221,0.29607250755287007,0.1579154078549849,0.17001488095238096,0.08499763369616659,0.04498966942148761,0.26960784313725494,1.267924528301887,2.156122448979592,1.5488,5.1,549.5000000000001,0.09512283894449498,11.281294964028776,4.633333333333334,52.269999999999996,0.1579154078549849,0.09512283894449498
WY,215,510,No,No,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False,358,37.58,0.025139664804469275,0.4134078212290503,0.30726256983240224,0.2541899441340782,0.10497206703910614,0.16997607655502395,0.08502894954507857,0.04501323918799647,0.27009345794392525,0.5648648648648649,1.3285714285714287,2.06,1.1888888888888889,441.8,0.08506111362607514,5.243720930232557,7.166666666666667,37.58,0.10497206703910614,0.08506111362607514
AZ,94,408,No,No,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False,282,61.66,0.0070921985815602835,0.30141843971631205,0.34397163120567376,0.3475177304964539,0.21865248226950354,0.17002200220022,0.08498023715415019,0.045018300122000816,0.26956521739130435,2.138823529411765,2.0653061224489795,2.5350515463917525,4.6,639.3000000000001,0.09644924135773501,19.67872340425532,3.1333333333333333,61.66,0.21865248226950354,0.09644924135773501
NM,119,510,No,Yes,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False,367,63.28,0.010899182561307902,0.3106267029972752,0.30517711171662126,0.37329700272479566,0.172425068119891,0.16999999999999998,0.08499999999999999,0.04500875656742556,0.2703389830508474,1.3508771929824561,2.0291970802919708,2.039285714285714,2.95,672.1999999999999,0.09413864921154419,15.952941176470588,3.966666666666667,63.28,0.172425068119891,0.09413864921154419
MI,86,510,No,Yes,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False,296,53.01,0.010135135135135136,0.34121621621621623,0.19594594594594594,0.4527027027027027,0.17908783783783783,0.17,0.085,0.044997889404812155,0.27052631578947367,1.1782178217821782,1.7164179104477613,4.084482758620689,3.1666666666666665,595.4,0.08903258313738663,18.49186046511628,2.8666666666666667,53.01,0.17908783783783783,0.08903258313738663
FL,106,408,No,Yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False,313,58.199999999999996,0.025559105431309903,0.402555910543131,0.2747603833865815,0.2971246006389776,0.18594249201277954,0.16998191681735986,0.08498845265588914,0.045002888503755056,0.2702127659574468,1.3166666666666667,2.327956989247312,2.0127906976744185,1.7625,569.6,0.10217696629213482,16.471698113207548,3.533333333333333,58.2,0.18594249201277954,0.10217696629213482
KS,92,408,Yes,No,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,319,38.78,0.006269592476489028,0.34796238244514105,0.2507836990595611,0.3949843260188088,0.12156739811912226,0.16996805111821087,0.08499446290143965,0.04501578709968426,0.2701923076923077,0.563963963963964,1.4333333333333333,2.7712499999999998,5.2,475.29999999999995,0.08159057437407954,12.645652173913042,3.066666666666667,38.78,0.12156739811912226,0.08159057437407954
SC,78,510,No,No,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False,320,61.64,0.003125,0.34375,0.425,0.228125,0.192625,0.16999405822935232,0.08499095840867993,0.045020746887966805,0.2704,1.53,3.0301369863013696,1.7720588235294117,12.5,643.0,0.09586314152410576,23.70769230769231,2.6,61.64000000000001,0.192625,0.09586314152410576
NC,155,408,No,No,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,False,259,69.97999999999999,0.023166023166023165,0.21235521235521235,0.3281853281853282,0.4362934362934363,0.2701930501930502,0.17000762195121952,0.08499486125385405,0.04498293515358362,0.26987951807228916,4.7709090909090905,1.7221238938053096,1.723529411764706,1.3833333333333335,611.8,0.1143837855508336,13.544516129032255,5.166666666666667,69.97999999999999,0.2701930501930502,0.1143837855508336
MO,64,510,No,Yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False,298,35.480000000000004,0.013422818791946308,0.348993288590604,0.2986577181208054,0.3389261744966443,0.11906040268456378,0.17002118644067796,0.08502202643171806,0.044979647218453184,0.2711111111111111,0.9076923076923078,1.3485148514851484,1.6561797752808989,1.125,382.5,0.09275816993464053,16.63125,2.1333333333333333,35.480000000000004,0.11906040268456378,0.09275816993464053
WA,83,415,No,No,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False,311,65.5,0.01607717041800643,0.3311897106109325,0.3215434083601286,0.3311897106109325,0.21061093247588425,0.17000903342366758,0.08498705780845556,0.044979591836734695,0.2704081632653061,2.1495145631067962,2.250485436893204,1.225,1.9600000000000002,585.5,0.11187019641332195,23.674698795180724,2.7666666666666666,65.5,0.21061093247588425,0.11187019641332195
SD,144,408,No,Yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,271,54.160000000000004,0.007380073800738007,0.35424354243542433,0.39114391143911437,0.24723247232472326,0.19985239852398526,0.17002107481559536,0.08500810372771475,0.045004668534080305,0.27076923076923076,1.9770833333333335,1.8417910447761194,2.020754716981132,3.25,533.9000000000001,0.1014422176437535,11.283333333333335,4.8,54.160000000000004,0.19985239852398526,0.1014422176437535
MT,143,415,No,No,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,False,328,56.059999999999995,0.012195121951219513,0.29573170731707316,0.3628048780487805,0.32926829268292684,0.17091463414634145,0.16999419616947184,0.08499999999999999,0.045005313496280556,0.26999999999999996,1.7762886597938146,1.6111111111111112,1.5815126050420167,3.25,547.5,0.10239269406392693,11.76083916083916,4.766666666666667,56.059999999999995,0.17091463414634145,0.10239269406392693
MN,81,415,No,No,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False,278,63.17,0.02158273381294964,0.3345323741007194,0.25539568345323743,0.38848920863309355,0.22723021582733813,0.17001008064516127,0.08501659554291133,0.04500775995861355,0.2701923076923077,2.1333333333333333,1.9527777777777777,2.722535211267606,1.7333333333333334,613.0,0.10305057096247962,23.396296296296295,2.7,63.17,0.22723021582733813,0.10305057096247962
SD,145,408,No,Yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,False,303,55.559999999999995,0.009900990099009901,0.297029702970297,0.33663366336633666,0.3564356435643564,0.18336633663366336,0.17003389830508472,0.08497438816163916,0.0449821499404998,0.26987179487179486,1.6388888888888888,1.6268518518518518,2.4715686274509805,5.2,590.9,0.09402606193941444,11.495172413793103,4.833333333333333,55.559999999999995,0.18336633663366336,0.09402606193941444
OK,89,510,No,No,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,301,89.31,0.009966777408637873,0.31561461794019935,0.2956810631229236,0.3787375415282392,0.2967109634551495,0.16999012833168806,0.0850134151015715,0.0449855815443768,0.269811320754717,3.1989473684210523,2.28859649122807,3.506741573033708,1.7666666666666666,882.1999999999999,0.10123554749489913,30.104494382022473,2.966666666666667,89.31,0.2967109634551495,0.10123554749489913
CT,199,415,No,Yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,False,316,73.48,0.006329113924050633,0.3829113924050633,0.2974683544303797,0.31329113924050633,0.23253164556962028,0.16999132697311364,0.08500455788514129,0.04500501169395256,0.27,1.905785123966942,2.216161616161616,3.1840425531914893,4.0,757.3,0.0970289185263436,11.077386934673367,6.633333333333334,73.48,0.23253164556962028,0.0970289185263436
