State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,Recency,Frequency,Monetary,High_Usage,High_Complaints,Total_Calls,Avg_Minutes_Per_Call,Intl_Usage_Ratio,Charge_Per_Minute,Day_Night_Ratio,Intl_Call_Ratio
MN,74,510,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,0,1,-1,2,2,592.4,64.0,1,0,282,2.093286219081272,0.02460397708122683,0.10785305021907651,1.393525179856115,0.01060070671378092
HI,85,415,No,No,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,2,1,-1,2,0,593.2,65.16,1,0,305,1.9385620915032682,0.020195220464490068,0.10966004712218107,1.2463002114164907,0.00980392156862745
MN,46,415,No,No,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,2,1,-1,2,2,564.2,60.57,0,0,292,1.9255972696245736,0.014508138711960366,0.10716560509554139,1.199439775910364,0.010238907849829351
VT,128,510,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,1,0,-1,0,0,736.8000000000001,66.53999999999999,1,0,275,2.6695652173913045,0.01165627541339116,0.09018704255895905,0.5533950617283951,0.025362318840579712
LA,155,415,No,No,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,2,0,-1,0,0,599.1999999999999,62.03,1,0,327,1.8268292682926828,0.014828390536487839,0.10334888370543154,1.03248730964467,0.012195121951219513
MT,73,415,No,No,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,0,0,-1,1,0,560.5,56.68999999999999,0,0,258,2.164092664092664,0.02315227070347284,0.10096170970614424,0.9143346659051971,0.015444015444015444
ID,77,415,No,No,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,2,0,-1,0,2,742.5,75.32000000000001,1,0,314,2.357142857142857,0.013180901143241427,0.1013046402151984,0.9116582186821145,0.022222222222222223
MA,108,415,No,No,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,0,0,-1,0,0,511.0,56.129999999999995,0,0,320,1.5919003115264798,0.028515625,0.10962890624999999,1.3704842428900847,0.01557632398753894
KY,95,408,No,No,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,1,0,-1,0,1,576.4000000000001,52.980000000000004,0,0,316,1.8182965299684546,0.021648770349844127,0.09175614825077935,0.5481120584652862,0.028391167192429023
MI,36,510,No,Yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,0,0,-1,0,2,679.8,75.88000000000001,1,0,297,2.281208053691275,0.013219741480611046,0.11145710928319626,1.4952178533475027,0.020134228187919462
CO,141,415,No,Yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,1,0,-1,1,1,509.20000000000005,49.0,0,0,331,1.5337349397590363,0.01979615836926695,0.0960407683261466,0.6742286751361161,0.0030120481927710845
AZ,63,415,No,No,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,1,0,-1,0,1,449.29999999999995,36.48,0,0,275,1.6278985507246375,0.020874972240728405,0.0810126582278481,0.2773069679849341,0.010869565217391304
ID,97,408,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,0,0,-1,0,2,606.6000000000001,67.83,1,0,322,1.8780185758513936,0.014318630678077678,0.1116359447004608,1.6618156618156619,0.015479876160990712
CA,75,408,No,No,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,2,1,-1,2,1,587.3000000000001,54.919999999999995,0,0,296,1.9774410774410778,0.010368859425463197,0.09335373108958013,0.6453240201785022,0.016835016835016835
WA,127,408,No,No,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,0,1,-1,1,1,567.3000000000001,55.09,0,0,282,2.004593639575972,0.024106985746964626,0.09693823684673587,0.7177103718199608,0.01060070671378092
LA,121,408,No,No,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,0,0,-1,0,1,570.0,58.989999999999995,0,0,327,1.7378048780487805,0.0148861646234676,0.10330998248686514,1.1162361623616237,0.01524390243902439
NE,117,415,No,No,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,1,2,-1,2,1,618.6,51.239999999999995,1,0,322,1.915170278637771,0.01630083925112976,0.08269851517107811,0.3426666666666667,0.021671826625386997
OH,65,408,No,No,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,2,0,-1,0,1,580.3,57.60000000000001,0,0,325,1.7800613496932514,0.012902115947015312,0.09908825047307761,0.8230398598335523,0.018404907975460124
MO,6,510,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,1,1,-1,1,1,629.1,63.82,1,0,270,2.3214022140221404,0.01618790668147913,0.1012855102364704,1.022271714922049,0.007380073800738007
AL,32,510,No,No,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,0,0,-1,0,0,578.5999999999999,63.81,0,0,232,2.483261802575107,0.010869565217391306,0.11009316770186338,1.4896774193548388,0.008583690987124463
NH,64,408,No,Yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,0,0,-1,1,2,527.1,55.650000000000006,0,0,280,1.8758007117437723,0.02007195606892634,0.10537776936186329,1.0989740494870248,0.017793594306049824
NM,25,415,No,No,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,1,0,-1,0,3,610.2,53.2,1,0,278,2.1870967741935488,0.017179319371727748,0.08704188481675393,0.44201556131900704,0.014336917562724014
OR,65,415,No,No,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,0,0,-1,2,1,492.20000000000005,47.09,0,0,332,1.4780780780780782,0.028588807785888074,0.09547850770478508,0.6368593238822247,0.006006006006006006
MI,127,415,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,0,0,-1,0,2,638.2,65.75,1,0,305,2.08562091503268,0.017991239048811013,0.10286295369211514,1.0300713557594292,0.00980392156862745
AZ,93,415,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False,0,0,-1,0,2,589.1999999999999,72.09,0,0,303,1.9381578947368419,0.01846831582514402,0.12214503558115895,3.468710089399745,0.009868421052631578
TX,208,510,No,No,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,2,0,-1,0,2,695.2,81.57000000000001,1,0,288,2.405536332179931,0.01536914679689744,0.11716460787130135,1.7870826491516147,0.020761245674740483
IN,122,415,No,No,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False,0,0,-1,0,2,521.2,60.370000000000005,0,0,262,1.981749049429658,0.02623515894293374,0.1156070471083876,1.3484513274336283,0.030418250950570342
LA,99,415,No,No,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False,2,0,-1,0,1,596.5,65.82,1,0,289,2.056896551724138,0.019414225941422593,0.11015899581589957,1.2743128964059196,0.034482758620689655
MS,65,415,No,No,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False,1,0,-1,0,1,633.6,57.44,1,0,314,2.0114285714285716,0.006933501418216199,0.09051370942325875,0.6152802893309223,0.006349206349206349
IN,65,415,No,No,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False,2,0,-1,0,1,700.7,68.19000000000001,1,0,332,2.1042042042042044,0.003847798204360838,0.09717828131680206,0.8498606133014736,0.012012012012012012
KY,45,415,No,Yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False,0,0,-1,0,0,684.9999999999999,70.6,1,0,287,2.378472222222222,0.017346938775510207,0.10291545189504374,1.1965916007303712,0.010416666666666666
MN,139,510,No,No,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,1,1,-1,2,5,549.5000000000001,52.27,0,1,331,1.6551204819277112,0.01852861035422343,0.09495004541326066,0.6906474820143885,0.006024096385542169
WY,215,510,No,No,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False,1,1,-1,2,0,441.8,37.58,0,0,358,1.2306406685236768,0.02416440831074977,0.08486901535682023,0.367311072056239,0.025069637883008356
AZ,94,408,No,No,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False,1,0,-1,0,4,639.3000000000001,61.66,1,1,282,2.259010600706714,0.014368264875839448,0.09629861002655003,0.7363304981773998,0.007067137809187279
NM,119,510,No,Yes,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False,0,0,-1,0,2,672.1999999999999,63.28,1,0,367,1.8266304347826086,0.017528223410576353,0.09399881164587048,0.6713164777680907,0.010869565217391304
MI,86,510,No,Yes,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False,1,0,-1,0,0,595.4,53.01,1,0,296,2.0047138047138047,0.015928906773977198,0.08888329979879275,0.5002101723413199,0.010101010101010102
FL,106,408,No,Yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False,0,2,-1,0,4,569.6,58.199999999999996,0,1,313,1.8140127388535032,0.024710830704521555,0.10199789695057833,0.9529006318207928,0.025477707006369428
KS,92,408,Yes,No,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,1,2,-1,2,1,475.29999999999995,38.78,0,0,319,1.4853124999999998,0.021834977955070337,0.08141927356707958,0.2810956443646161,0.00625
SC,78,510,No,No,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False,1,0,-1,1,1,643.0,61.64,1,0,320,2.0031152647975077,0.019409937888198756,0.09571428571428571,0.6954545454545455,0.003115264797507788
NC,155,408,No,No,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,False,2,0,-1,2,2,611.8,69.97999999999999,1,0,259,2.353076923076923,0.013544386422976503,0.1141971279373368,1.7789830508474576,0.023076923076923078
MO,64,510,No,Yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False,1,1,-1,1,0,382.5,35.480000000000004,0,0,298,1.2792642140468227,0.011734028683181226,0.09251629726205998,0.6361185983827493,0.013377926421404682
WA,83,415,No,No,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False,0,1,-1,1,3,585.5,65.5,0,0,311,1.876602564102564,0.016709292412617222,0.11167945439045183,1.7927125506072874,0.016025641025641024
SD,144,408,No,Yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,1,0,-1,1,2,533.9000000000001,54.160000000000004,0,0,271,1.9628676470588238,0.012151804075528135,0.10125257057393905,0.8819702602230485,0.007352941176470588
MT,143,415,No,No,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,False,0,0,-1,1,2,547.5,56.059999999999995,0,0,328,1.6641337386018238,0.023701002734731084,0.1022060164083865,0.9106765327695562,0.0121580547112462
MN,81,415,No,No,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False,2,1,-1,2,2,613.0,63.17,1,0,278,2.197132616487455,0.016938110749185668,0.1028827361563518,1.0211013896037056,0.021505376344086023
SD,145,408,No,Yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,False,1,0,-1,1,2,590.9,55.559999999999995,0,0,303,1.9437499999999999,0.026355803345159655,0.09386720729853015,0.5827736072698538,0.009868421052631578
OK,89,510,No,No,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,2,0,-1,0,1,882.1999999999999,89.31,1,0,301,2.9211920529801323,0.00600090579710145,0.10112092391304349,0.9706164164803576,0.009933774834437087
CT,199,415,No,Yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,False,2,0,-1,1,0,757.3,73.48,1,0,316,2.3889589905362776,0.01054991428194646,0.09690096267967824,0.7678987678987679,0.006309148264984227
CT,96,415,No,Yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True,1,0,-1,1,5,519.1999999999999,52.07,0,1,300,1.7249169435215945,0.019800076893502504,0.10009611687812381,0.7954859511745739,0.016611295681063124
MN,94,415,No,No,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,False,2,1,-1,2,1,675.6999999999999,62.58,1,0,305,2.2081699346405226,0.009753214127382889,0.09247820304418503,0.6286802909594735,0.016339869281045753
FL,127,415,No,No,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True,2,2,-1,0,1,744.5000000000001,78.74000000000001,1,0,395,1.8800505050505054,0.007914151576123407,0.10562038900067068,1.2804995196926034,0.005050505050505051
RI,121,408,No,No,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True,1,2,-1,1,0,829.1,75.14999999999999,1,0,266,3.105243445692884,0.013492350319238644,0.09053126129382001,0.5718120805369128,0.011235955056179775
IN,122,408,No,No,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True,0,0,-1,0,4,656.5,77.76,1,1,298,2.1956521739130435,0.017338403041825094,0.1182661596958175,2.197183098591549,0.010033444816053512
AL,121,408,No,Yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,False,1,0,-1,0,1,486.69999999999993,41.42,0,0,210,2.306635071090047,0.023375025630510565,0.08492925979085506,0.34627016129032256,0.018957345971563982
OR,77,510,No,No,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,False,2,0,-1,2,2,720.6,74.02,1,0,305,2.354901960784314,0.010532150776053214,0.10257760532150775,1.0940570893776322,0.00980392156862745
MS,64,408,Yes,No,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,True,0,0,-1,0,2,662.1,71.02,1,0,261,2.5270992366412215,0.019906499773789773,0.10710300105564771,1.2106611993849308,0.007633587786259542
CA,124,408,Yes,No,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,False,2,1,-1,2,1,650.6999999999999,69.94999999999999,1,0,287,2.259375,0.017339266533681143,0.1073346631885837,1.1816425120772946,0.013888888888888888
DE,148,415,No,No,0,124.4,83,21.15,179.7,81,15.27,253.0,99,11.39,11.3,6,3.05,0,False,1,1,-1,0,0,568.4,50.86,0,0,269,2.105185185185185,0.019845451352300668,0.08932209343168247,0.48976377952755906,0.022222222222222223
MS,77,408,No,No,0,230.0,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,False,2,0,-1,0,2,654.0999999999999,64.85000000000001,1,0,364,1.7920547945205476,0.017249274919859565,0.09899252022591973,0.7405022537025112,0.00821917808219178
NC,135,415,No,No,0,201.8,81,34.31,225.0,114,19.13,204.4,82,9.2,10.3,6,2.78,1,False,2,0,-1,2,1,641.5,65.42,1,0,283,2.2588028169014085,0.016031128404669262,0.10182101167315176,0.9824732229795521,0.02112676056338028
SD,87,415,No,Yes,21,214.0,113,36.38,180.0,114,15.3,134.5,82,6.05,10.6,5,2.86,0,False,0,0,-1,1,0,539.1,60.59,0,0,314,1.7114285714285715,0.01962599518607665,0.11218292908720608,1.5793357933579335,0.015873015873015872
NH,54,510,No,No,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,False,0,0,-1,1,1,551.3,61.22,0,0,243,2.2594262295081964,0.01539018649284809,0.11084555495201884,1.6343167701863353,0.020491803278688523
MA,35,415,No,No,0,105.6,129,17.95,258.2,129,21.95,213.1,77,9.59,8.7,3,2.35,0,False,1,0,-1,0,0,585.6,51.839999999999996,0,0,338,1.727433628318584,0.01483123082168428,0.08837367882713944,0.4932274638019617,0.008849557522123894
TX,84,408,No,No,0,138.6,102,23.56,199.0,93,16.92,204.1,137,9.18,7.8,4,2.11,0,False,1,0,-1,0,0,549.5,51.77,0,0,336,1.6305637982195846,0.014168937329700272,0.09404178019981835,0.6757679180887372,0.011869436201780416
OR,94,415,No,No,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2.0,2,0.54,1,True,2,0,-1,2,1,749.9000000000001,74.67,1,0,335,2.2318452380952385,0.0026634705020641895,0.09944067119456651,0.9965986394557824,0.005952380952380952
UT,96,408,No,Yes,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1,False,0,1,-1,0,1,513.0,51.23,0,0,295,1.7331081081081081,0.01926070038910506,0.0996692607003891,0.8777844671884408,0.006756756756756757
NV,64,415,No,No,0,97.2,80,16.52,186.2,90,15.83,189.0,92,8.5,10.4,6,2.81,2,False,1,0,-1,1,2,482.79999999999995,43.660000000000004,0,0,268,1.7947955390334571,0.021496486151302195,0.0902439024390244,0.511578947368421,0.022304832713754646
NE,85,415,No,No,0,259.8,85,44.17,242.3,117,20.6,168.8,72,7.6,5.4,1,1.46,0,False,2,2,-1,2,0,676.3000000000001,73.83,1,0,275,2.45036231884058,0.007972833308725823,0.1090063487376347,1.530035335689046,0.0036231884057971015
AZ,117,408,No,No,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,False,2,0,-1,0,0,634.0,67.72,1,0,285,2.2167832167832167,0.015433070866141733,0.10664566929133858,1.139667458432304,0.006993006993006993
DC,112,415,No,Yes,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,3,3.05,1,False,2,0,-1,2,1,563.0999999999999,60.79,0,0,344,1.632173913043478,0.02003190923595108,0.10776458074809432,1.1024875621890546,0.008695652173913044
MA,129,510,Yes,No,0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,False,2,0,-1,0,1,594.4999999999999,60.730000000000004,1,0,366,1.6198910081743867,0.018303946263644,0.10198152812762387,0.9354995150339477,0.010899182561307902
AZ,140,408,No,No,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,False,0,0,-1,0,3,590.5,58.61000000000001,0,0,330,1.783987915407855,0.01893491124260355,0.09908706677937448,0.8235853542558249,0.015105740181268883
MI,81,415,No,No,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,False,1,0,-1,0,2,555.9,53.53000000000001,0,0,289,1.9168965517241379,0.01131262345124798,0.09612138624528642,0.7694235588972431,0.006896551724137931
TX,70,510,No,No,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3.0,0,False,1,0,-1,0,0,536.1,44.349999999999994,0,0,301,1.7751655629139074,0.020666542543288025,0.08257307763917332,0.2842809364548495,0.019867549668874173
ID,79,510,No,Yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,False,2,0,-1,0,4,646.8,71.67,1,1,292,2.207508532423208,0.009725223834516827,0.11063599876505095,1.5154816513761469,0.010238907849829351
AL,85,408,No,No,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,False,0,0,-1,0,0,613.8,57.27,1,0,312,1.9610223642172522,0.020331815224463243,0.0931522446324008,0.6294291338582678,0.01597444089456869
SD,91,510,No,No,0,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,3,2.24,0,False,1,0,-1,1,0,662.5999999999999,60.12,1,0,317,2.0836477987421382,0.012507534659433396,0.09059674502712478,0.5708812260536399,0.009433962264150943
LA,149,415,No,Yes,20,198.9,77,33.81,274.0,88,23.29,190.7,76,8.58,14.3,9,3.86,1,False,0,0,-1,0,1,677.8999999999999,69.54,1,0,250,2.7007968127490036,0.021063485049344532,0.10243040212107825,1.0375586854460095,0.035856573705179286
AZ,60,415,No,No,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,False,1,0,-1,0,2,511.59999999999997,44.6,0,0,228,2.234061135371179,0.018142801404603986,0.08700741318767072,0.4372217275155833,0.008733624454148471
RI,115,408,No,No,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,False,1,2,-1,1,3,685.6,60.629999999999995,1,0,325,2.1030674846625765,0.013981939994174191,0.08830468977570637,0.4918523445294314,0.027607361963190184
OH,144,415,No,Yes,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,False,1,0,-1,0,1,433.0,39.39,0,0,338,1.2772861356932153,0.023271889400921657,0.09076036866359447,0.5081184336198663,0.014749262536873156
AZ,86,415,No,Yes,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,5,3.0,3,False,1,0,-1,0,3,493.6,40.239999999999995,0,0,394,1.249620253164557,0.02244237767893247,0.08135867367569752,0.28832858885725904,0.012658227848101266
MI,139,415,No,Yes,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4.0,0,False,0,0,-1,0,0,627.3,67.78999999999999,1,0,377,1.6595238095238094,0.023555626293172056,0.10789431800095495,1.31013431013431,0.031746031746031744
NV,124,408,No,No,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,False,1,0,-1,1,1,599.1999999999999,54.540000000000006,1,0,323,1.8493827160493825,0.00883038987004332,0.09086971009663447,0.5893135725429017,0.009259259259259259
MA,102,510,Yes,No,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,False,0,0,-1,0,0,615.0999999999999,68.66,1,0,343,1.788081395348837,0.020775848076610943,0.11144294757344587,1.5807978363759296,0.00872093023255814
IN,78,415,No,No,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,False,2,0,-1,0,0,754.3,73.02999999999999,1,0,378,1.9902374670184695,0.016946908513173577,0.09669005693102077,0.7428876244665719,0.018469656992084433
AL,55,415,Yes,No,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,True,0,0,-1,0,1,666.0,67.42,1,0,308,2.1553398058252426,0.021439280359820092,0.10107946026986507,0.9374694675134344,0.019417475728155338
RI,129,415,No,Yes,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,False,1,2,-1,1,2,667.5999999999999,57.46,1,0,369,1.804324324324324,0.008824409213281486,0.08594077176189054,0.45234493192133135,0.005405405405405406
ME,75,408,Yes,No,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,True,2,0,-1,2,4,502.49999999999994,55.440000000000005,0,1,247,2.0262096774193545,0.019265143992055613,0.1101092353525323,1.1944601469756926,0.016129032258064516
SD,126,415,No,Yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,False,1,0,-1,1,3,557.6,49.83,0,0,323,1.7209876543209877,0.022556390977443608,0.08920515574650913,0.47348798674399334,0.021604938271604937
MO,92,415,No,No,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3,True,1,1,-1,1,3,777.4,68.68,1,0,329,2.3557575757575755,0.007194244604316546,0.08823227132579652,0.532871972318339,0.006060606060606061
OK,52,408,No,No,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,False,0,0,-1,0,2,506.0999999999999,58.07,0,0,324,1.557230769230769,0.018536777755866696,0.11451390258331692,1.7258842443729903,0.012307692307692308
IL,87,510,No,No,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13.0,6,3.51,1,False,0,1,-1,0,1,483.7,60.46999999999999,0,0,355,1.3587078651685394,0.026820713843614608,0.12475758200949039,3.3668122270742358,0.016853932584269662
